status,detail_url,detail_title,detail_date_iso,decree_number,attachment_url,output_file,original_filename,content_type,bytes,sha256,error
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Istr.Operative_LG_Ponti_ANSFISA_rev_04_08_2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Istr.Operative_LG_Ponti_ANSFISA_rev_04_08_2025.pdf,Istr.Operative_LG_Ponti_ANSFISA_rev_04_08_2025.pdf,application/pdf,3690549,50deab287212acd94028cbc98f4d56e1c53d17e7642418fbe959917586032b77,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/m_inf.AE02F53.REG_ATTI_INT_CONSUP_R_.0000413.05-11-2025.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - m_inf.AE02F53.REG_ATTI_INT_CONSUP_R_.0000413.05-11-2025.pdf,m_inf.AE02F53.REG_ATTI_INT_CONSUP_R_.0000413.05-11-2025.pdf,application/pdf,336343,7681fa523257a8857f84fc1d01d99a67d7d988e011a900bae0c41ccefa523bbe,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-208-del-25062025,Decreto dirigenziale n. 208 del 25/06/2025,20250625,208,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-06/m_inf.AFC41FC.REGISTRO%20DECRETI%28R%29.0000208.25-06-2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20250625-Decreto n. 208 del 25-06-2025 - m_inf.AFC41FC.REGISTRO DECRETI(R).0000208.25-06-2025.pdf,m_inf.AFC41FC.REGISTRO DECRETI(R).0000208.25-06-2025.pdf,application/pdf,334333,bebaa9aabba3ce463d9695128c541cb905d6275d43cfcd6f2e77f0fdf4ffcf7d,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-227-del-04072025,Decreto dirigenziale n. 227 del 04/07/2025,20250704,227,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-07/m_inf.AFC41FC.REGISTRO%20DECRETI%28R%29.0000227.04-07-2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20250704-Decreto n. 227 del 04-07-2025 - m_inf.AFC41FC.REGISTRO DECRETI(R).0000227.04-07-2025.pdf,m_inf.AFC41FC.REGISTRO DECRETI(R).0000227.04-07-2025.pdf,application/pdf,317199,acf33e3b11b1af043e559841cb2e2e096f3cbee3e34fa626d7b0da3917a6da8c,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-296-del-28082025,Decreto dirigenziale n. 296 del 28/08/2025,20250828,296,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-09/m_inf.AFC41FC.REGISTRO_DECRETI_R_.0000296.28-08-2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20250828-Decreto n. 296 del 28-08-2025 - m_inf.AFC41FC.REGISTRO_DECRETI_R_.0000296.28-08-2025.pdf,m_inf.AFC41FC.REGISTRO_DECRETI_R_.0000296.28-08-2025.pdf,application/pdf,384203,0c4d0be5d98811f7f3165a347bf8fac427025a612f708c318b8df6b4bfbb5cd6,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-325-del-22092025,Decreto dirigenziale n. 325 del 22/09/2025,20250922,325,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-09/m_inf.AFC41FC.REGISTRO_DECRETI_R_.0000325.22-09-2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20250922-Decreto n. 325 del 22-09-2025 - m_inf.AFC41FC.REGISTRO_DECRETI_R_.0000325.22-09-2025.pdf,m_inf.AFC41FC.REGISTRO_DECRETI_R_.0000325.22-09-2025.pdf,application/pdf,375942,aedcf61a4497f1ed80380851739d2f37238648b901f33cd55e575246084fa76e,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-342-del-021025,Decreto dirigenziale n. 342 del 02/10/25,20251002,342,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-10/m_inf.AFC41FC.REGISTRO%20DECRETI%28R%29.0000342.02-10-2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20251002-Decreto n. 342 del 02-10-25 - m_inf.AFC41FC.REGISTRO DECRETI(R).0000342.02-10-2025.pdf,m_inf.AFC41FC.REGISTRO DECRETI(R).0000342.02-10-2025.pdf,application/pdf,383191,d5cefb5b5b531ef6bd6bb1994f7811e3b73779216d0000f423826cf2aab363d2,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-414-del-12112025,Decreto dirigenziale n. 414 del 12/11/2025,20251112,414,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/m_inf.AFC41FC.REGISTRO%20DECRETI%28R%29.0000414.12-11-2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20251112-Decreto n. 414 del 12-11-2025 - m_inf.AFC41FC.REGISTRO DECRETI(R).0000414.12-11-2025.pdf,m_inf.AFC41FC.REGISTRO DECRETI(R).0000414.12-11-2025.pdf,application/pdf,380541,14611ed38a3384b61b80665fdcd6348502041747f280d3897f0d3ccd5c7f69f0,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-476-del-09122025,Decreto dirigenziale n. 476 del 09/12/2025,20251209,476,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-12/m_inf.AFC41FC.REGISTRO%20DECRETI%28R%29.0000476.09-12-2025.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20251209-Decreto n. 476 del 09-12-2025 - m_inf.AFC41FC.REGISTRO DECRETI(R).0000476.09-12-2025.pdf,m_inf.AFC41FC.REGISTRO DECRETI(R).0000476.09-12-2025.pdf,application/pdf,374656,a85b66375e9239ec26260a9afd2adb920c740ea2b7de31a9cc71184bbd49263a,
OK,https://www.mit.gov.it/normativa/decreto-dirigenziale-n-624-del-19122024,Decreto dirigenziale n. 624 del 19/12/2024,20241219,624,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2024-12/m_inf.AFC41FC.REGISTRO%20DECRETI%28R%29.0000624.19-12-2024.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20241219-Decreto n. 624 del 19-12-2024 - m_inf.AFC41FC.REGISTRO DECRETI(R).0000624.19-12-2024.pdf,m_inf.AFC41FC.REGISTRO DECRETI(R).0000624.19-12-2024.pdf,application/pdf,323464,7e41ebc71b136300a0cffe8d0e00ede2cb9edbeaf3f452726ac9482a026397ec,
